text,topic
"""我们过去了"" was he joking?","mandarin, meaning in context"
What is the translation for 以后还得了?,"translation, expressions, sentence"
How can we translate 不是……胜似 into English?,translation
This string of characters: 如力士屈申臂頃,middle chinese
I would like someone to translate the writing on this plate in to english please,translation
What's the Difference Between 吹风 and 刮风?,"word choice, mandarin, synonyms"
Asking for right answers for 中级 questions,"grammar, mandarin"
"How can I say ""a class in Chinese"" (and not ""a Chinese class"")?",translation
"I'm currently reading a romanized, english map of China from 1912. I'd like to modernize the locations. How should I go about it?","traditional characters, old chinese, romanization"
"Ordering the same thing again, would I use ""再來""?","equivalent phrase, phrase request"
来不及爱你 Too late to love you,"meaning, expressions, phrase, equivalent phrase"
"How to write ""Oh"" in Chinese （哦，噢，喔）","meaning, comparison"
代表你的猴山; why can it be used in this way?,etymology
When to use 只 or 仅,word choice
How to type a Simplified Chinese degree symbol on a regular English keyboard?,simplified characters
Could someone please help explain to me what '收尸' means?,"translation, meaning, vocabulary, meaning in context, phrase"
"What does 任一牌 mean in Chinese ""Magic: The Gathering"" cards?","grammar, games"
Does this building on chinese painting exist for real ? May the text which come along be of any help?,"characters, character identification, traditional characters, literary chinese, old chinese"
Why there is no 个 in the expression 这孩子真可爱！?,measure word
How can learner distinguish 察館 vs. 茶館 in Mandarin phonetically?,"pronunciation, phonology"
"What's the logic and etymology behind 未免 = ""rather"", such as in 未免太贵了?","etymology, word"
Why does Mandarin differentiate 发[發/髮] fa1/fa4 when most topolects don't?,"mandarin, topolect"
"Do most native speakers understand these Chengyus at all? 霽範永存, 亹亹不卷, 巾袖無光, 鑿枘不入",chengyu
What is the meaning of 却 in 却可以使我们不会在错误的道路上走得太远？,"translation, meaning, meaning in context"
"What is the function of ""一"" in the sentence 要上山，只有这一条路?","usage, word"
What are the most common Chinese honorifics?,"terms of address, formal"
Meaning of seal (Characters identified: 媒體勇士),"translation, character identification, seal"
Determine radicals for simplifed characters that lost their traditional form completely,"radicals, simplified characters, traditional characters"
Is there a word for Chinese songs that rhyme like Jay Chou's 迷迭香 and JJ Lin's 伟大的渺小?,"word, word requests, poetry, lyrics, songs"
why in the sentence double 个 is used?,grammar
Help identifying seal script characters (Characters identified: 藍色魚流圖　曉濤),"character identification, seal"
How to say 治安不好 in English,translation
"How to say ""One day we will meet""?",translation
"What greetings or sayings are there that are used during the new year, specific to the Year of the Snake?","greetings, chinese new year"
"How should ""燭之死"" be understood in the following context?","meaning in context, classical chinese"
'一三一四五二零' I need someone to confirm the meaning of this number sentence,meaning in context
"How did Middle Chinese ""hæwk"" evolve into Mandarin ""xué""?","mandarin, pronunciation, middle chinese"
What is the correct pronunciation of 垃圾?,"mandarin, pronunciation"
How to use 都 and 也 together？,"translation, grammar, sentence structure"
How do waves relate to this?,"meaning, mandarin, sentence structure, proverb"
How to type these old and rare Chinese characters?,"characters, traditional characters, old chinese"
"Differentiating ""to do a burnout"" and ""burning tyres""","word requests, ambiguity"
How is this character written: “一点一横长，二字下来口字方，两边丝绕绕，中间马大王，你也长，我也长，心字底，月字旁，打把金钩挂衣裳。”,characters
Is 邏輯 a phono-semantic matching of the English word logic?,"characters, etymology, loanwords"
What is the difference between these sentences? (过 vs 了),"grammar, particles"
What is the tone for 少 in 老少边穷地区?,"meaning in context, pronunciation, tones"
What does 探个究竟 actually mean?,meaning
"When 了 has the same verb before and after it, is it reduplication combined with 了1?","grammar, verbs, particles"
"Is this pinyin alphabet used to spell in Chinese Sign Language? Otherwise, which one is used in Mainland China?",pinyin
冰雪聪明... only for girls?,"mandarin, usage, idioms"
"What are the differences between 锻炼 and 运动 for ""exercise"", ""work out"", ""train"", etc?","translation, word choice, synonyms"
Chinese art seals and signature?,translation
Clipping the Emperor’s wings,"translation, meaning in context, literary chinese"
"Was ""jih pun""- an origin of ""Japan"", came from Cantonese?",vocabulary
Character for dice in Cantonese,cantonese
"I would be grateful if anyone can translate/identify the artist of this Chinese ""Farmers' Art"" painting","translation, meaning, names"
What did the original Tao Te Ching use for punctuation?,"writing, punctuation"
Translations of 你要的衣服还没买， 你要的旗袍呢 - New Practical Chinese Reader 2 Chap.17,"translation, grammar"
Which version of this phrase is correct and why is there a 是 at the beginning?,grammar
Sogou IME (on Ubuntu): How to output pinyin with tone marks?,"pinyin, tones, input methods"
"Are longer 4+ character Chinese words considered 1 word, or multiple words, in terms of pronunciation?",word
How To Interpret 患难见真情,translation
Can a drone make a heroic contribution?,style
How to translate skepticism?,word
What's the difference between 不能，买不到，不用？,"meaning, difference"
How many words for I are there in Chinese?,word
Does 伊 have any special meaning?,"meaning, characters"
What is the missing word,word requests
"Mnemonic or technique to remember 咅 ,部, 陪","meaning, meaning in context, etymology"
"Why most cursive forms of two Chinese characters, ""不"" and ""正"", have a different shape that violates the stroke order?","traditional characters, calligraphy"
Proper translation of 蛇精,translation
What is 冎's history and its relation to 骨 and 剮?,"characters, glyph origin"
Why is 比率 in 一家名为 RATIO 比率的店面备受关注?,meaning in context
“陈旧”这个词一定是贬义词吗?,"meaning, word"
Difference between 顺顺当当 and 顺顺溜溜?,difference
Question about 比之为 construction,grammar
"Difference between 顾客, 客, 客户 and 客人","vocabulary, difference"
What does peeling shrimps mean in Chinese?,meaning in context
"Why is 来 used in ""因为‘东西’一般不能用来表示人""?","grammar, word choice, usage, word"
"专心 VS 专注 VS 关注, with 于 in the mix",mandarin
What is the 統 in 傳統？,etymology
"What are some examples of how Chinese sentences are typically ""short"" (as opposed to ""long"" English sentences)?",sentence structure
"Is there an ""official"" translation of Malcom X's You can't hate the roots of a tree and not hate the tree""?",translation
Why is there a 去 in 我们需要确保社交距离去保护您和我们的员工?,"word choice, usage"
"What does ""不等“ add in 从A到B不等?",grammar
What is the difference between 需 and 須?,"meaning, difference"
很 and 最 - Questions of The Context,"word choice, grammar, meaning in context"
"A noun version of ""need""","grammar, word choice, mandarin"
"Question with ""ne (呢) to be responded with ""呢""?","grammar, particles"
"""Aren't you both also Americans"" in Chinese?","translation, writing critique"
"What does ""上千"" + [something] mean?",grammar
"Different nuances of words such as 进行, 实施, 执行, etc",synonyms
"Mandarin equivalent of 轉行 (zyun3 hong4), which means to switch industries?","mandarin, cantonese"
What does this 我却为你万千感慨 mean?,"meaning, meaning in context, phrase meaning"
What's the difference between 去 and 来？,"meaning, difference"
Thoughts on the expression 腦洞大開?,"etymology, idioms"
Question about the usage of 是---的 in Chinese Bible translation,"translation, grammar, vocabulary, literature"
How to parse 各在鏡腿上綹兩把,reading
What does this translate to? ㄨㄞ,meaning
Use of 龙 in the idiom 车水马龙,meaning in context
do words like 一般，习惯 and 经常 when placed before or after the Time clause change the meaning of the sentence?,"grammar, word order"
In these 2 sentences does 得 have the same function?,meaning
When did the words 麻醉 and 麻药 first appear?,etymology
"""Are you still married to Mary?"" How to translate this?",translation
"What is the meaning of 製年德宣明大,,please tell me?","translation, meaning, character identification, phrase, dictionary"
What 新派-Cantonese Habits Are Considered Unorthodox By 老派 Speakers?,cantonese
"News ""Digest"": Resources",resources
Does 来 show fruit on a tree or ripening corn?,"etymology, glyph origin"
What are some US Mandarin curriculum standards?,"learning, teaching methods"
What can we make of the name 九儿?,"etymology, names"
"How to say ""a beneficial insect""?",translation
Artist name and date of painting,"translation, character identification, seal, calligraphy"
Can someone help translate 不枉 lyrics to English?,"translation, simplified characters, lyrics"
Which 了 is this in 虽然那件衬衫很好看，但是太贵了！,grammar
What pinyin combinations spell out English words?,pinyin
"Is ""投个好胎"" a proper set phrase/idiom? What does it mean?","meaning, meaning in context, phrase meaning"
"Is There A Way To Say ""Fro"" (as in afro/fro) In Traditional Chinese?","word requests, sentence structure, simplified characters, traditional characters"
What is the difference in usage between 风光，景色 and 风景?,"meaning, difference"
What is the meaning of 开锅 in 便可开锅了?,"meaning, meaning in context"
I need help with the translation of 长和能力,"translation, meaning, meaning in context"
"How does 讽刺 mean both ""sarcastic"" and ""ironic""?","translation, synonyms, nuance"
Can 曾 be used alone instead of 曾经？,"word choice, grammar"
Difference between 好看、美丽 and 漂亮,word choice
What's the difference between 可 and 可以?,"difference, synonyms"
"What's the Chinese word for ""bare-metal"" (computer programming)?",translation
"When should I use ""了"" in “把”字句 and where should it be placed?",grammar
"Is ""先学为后己，后学为先己"" a proverb in Chinese?",proverb
"Seeking the equivalent in English for ""厚脸皮""",phrase meaning
Does the distinction between speak and say have any equivalent in Mandarin?,word requests
What is the best expression of a particular nickname?,"characters, culture"
Good resource to learn scientific Chinese,"resources, terminology"
In what cases should I use 条 for 猫?,"grammar, measure word"
Reading older Chinese magazines,"grammar, classical chinese, resources"
"Do people say 一下 as a very colloquial ""just a sec""?",colloquialisms
What does 旗舰店 mean?,meaning in context
How do I pronounce Xué (学)?,pronunciation
How does 雜's 2021 meanings appertain to its semantic component 衣?,etymology
What's the difference between 载体 and 媒介？,difference
"Usage of word ""sun"": 太阳 (tài yáng) vs 日 (rì)",difference
When to use 家 vs 师 vs 员 vs 者,"meaning, translation"
What's the difference between 许多 and 很多？,"grammar, usage, difference"
Could anyone translate these characters for me on what I think is a Ming Taoist figure,character identification
Is 弄 + complement of result only used for actions with a negative outcome?,usage
Online Classical Chinese dictionary,resources
Is 请扫我的 an appropriate way ask the cashier to scan my phone for payment?,word choice
Did ancient Chinese have tones (声调)?,"pronunciation, tones, phonology, middle chinese, old chinese"
how would you translate 在我找到工作之前 ? What is the function of 在 here?,grammar
"Why is ""感恩"" frequently used as a verb?","meaning, mandarin, vocabulary, difference"
Contracted pronunciations of 今天 and 这里【這裡】(Taiwan)?,pronunciation
Is this correct usage of the word 天资?,"grammar, sentence structure"
Using 也 (ye3) vs. 又 (you4)?,"grammar, mandarin"
"How to say ""at the start of the year"" in this context?","translation, word choice, sentence structure"
"'字面' 非字面, or figurative uses of 'literally'","word choice, meaning in context"
Understand 憎人富貴厭人貧(窮),"translation, cantonese, expressions"
How to say those mouth-watering Chinese dishes names in Chinese?,"vocabulary, word requests, culture"
Difference and usage of 听看，听见，听到?,"word choice, difference"
"Is it polite to answer a question asked by a senior by starting with ""回...的話""?",politeness
"Is there a Chinese word for the Japanese 気合 (kiai), the sounds (""Hi-yah!"" etc.) made when performing martial arts?","translation, word"
"""Still better than"" informal translation -- X 还是比 Y 好 abbreviation","translation, mandarin"
Understanding and interpretation of 李白's 《玉阶怨》,"translation, poetry"
What does 哈批 mean?,"slang, internet slang"
Translation for these symbols (Google turned back nothing!),translation
孤单 vs 孤独 vs 寂寞 usage,"meaning, usage, difference"
Seeking help in translation lyrics from the Chinese song,"translation, meaning, lyrics"
How many unencoded characters still exist?,characters
A proper measure word for dishes of multiple culinary categories,measure word
Difference between learning Mandarin Chinese and Taiwanese Hokkien for visiting Taiwan,"mandarin, topolect, learning, hokkien, taiwanese"
Are these two having the same meaning: 遥远的地方 vs. 远方,"grammar, word choice, vocabulary"
Are there any phonetic pangrams for Mandarin and other Chinese languages?,pronunciation
How limited are Cantonese dictionaries?,cantonese
"Structures for describing people, appearance or personality",grammar
"Which is the correct translation for ""I went to the bathroom twice"": 去了厕所两次 or 去厕所两次了?","particles, word order"
"How would I say ""I will get laughed at""?",word choice
What is the Chinese origin of “kai shao”,etymology
Result Complement 得到,"grammar, result complement"
How does the Chinese translation of an English name get established?,names
How are the two versions of 別 / 别 used?,characters
How to express 忽悠 in English?,translation
Difference between 别 and 不,"word choice, negation"
differentiation of 交女朋友 vs 找女朋友,"word choice, grammar, expressions"
How can we conclude that 人生观的核心 is 人生目的?,meaning
"Is 卖掉……事业 correct in 他卖掉了他的事业并且退休, and does it mean ""sell [his] business""?",word choice
How many 虾 are 三只半虾？,number
What is the meaning of the last part of this passage?,meaning in context
When do I use 着 to indicate action in progress?,"grammar, usage"
Character: “Kei” For “To Go” (去) In Sichuanese,"characters, topolect"
"Why does ""拒不"" mean ""to refuse to do something""?","vocabulary, word"
Effective and polite way to end a phone conversation,"politeness, phrase request"
"What is the Chinese equivalent of ""Encl."" used in formal letters?",formal
Understanding 照相 and 照片,"word choice, characters, difference, etymology, word"
"When making j, x, and q consonant sounds, where in the mouth does the sound get created?",pronunciation
written characters: yuē vs rì,"writing, handwriting"
"On a HSK6 test, why is 社会稳定，人民生活水平显著提高，这一切都给人留下了深刻的印象 the incorrect sentence?","grammar, word choice, hsk"
How can I recognize Chinese characters in pictures? (Characters identified: 興隆 and 禄),"translation, character identification"
What do these four phrases mean in English?,translation
What is the difference between 财政 and 金融？,word
Is the saying/idiom 天生我才必有用 religious?,idioms
Recommendations for novels written in colloquial Chinese,reading
"Is the similar pronunciation of 上班, 办公 and 工作 just a coincidence?","pronunciation, etymology"
How to say things are different from one another,"grammar, usage, preposition"
"How did 黃 (yellow) come to mean ""pornographic""?","meaning in context, slang"
Chinese? Seal Need help with translating and more information on this scroll (Characters identified: 鄧紹新印）,"translation, character identification, seal"
How does 我感到最大的成就就是影响了一代又一代人对自己的看法 not imply 自己影响了别人?,meaning
Why is the pinyin of these two character is so weird?,pinyin
"""Shakespere"" Pronounced wrong upsets my teacher",pronunciation
Western grammatical influence on vernacular Chinese in the 20th century,history
Help me translate this calligraphy please!!! I would greatly appreciate it,"translation, calligraphy"
Difference between 妖魔 and 妖怪,difference
Confusion of d- and l- initials,"pronunciation, topolect"
What does 丑八怪 mean?,"translation, meaning, word, phrase"
"Is there a difference between ""几点"" (jǐ​diǎn) and ""什么时候"" (shén​me​shí​hou)?","mandarin, difference"
Why are there different pronunciations of 复杂？,"pronunciation, topolect, tones"
"我住宅在一座橋樑 的 附近。Does this sound idiomatic and natural, or stilted and artificial?",word choice
What is the difference between 依偎 and 偎傍？,difference
How are ambiguous “brother” and “sister” typically translated into Chinese?,"translation, word choice"
Are both 我家 and 我的 okay in 下班以后我去你家或者你来[我家/我的]，都可以?,"grammar, meaning, sentence structure"
Analog of Hong Kong grade level for Chinese characters?,"characters, mainland china, reference materials"
"How can I express ""14 less than the result of 2 times y"" in Chinese?",translation
"What's the difference between 注册 and 登记, both meaning ""to register""?",difference
What is function of 的 in 挺.......的?,"grammar, particles"
Need help understanding grammar in short text,grammar
Translation problem,translation
"Translation from english into a phonetic Cantonese ""Forces of Evil, Come and Obey.""",cantonese
"If there is no adverb for time, what are the possible tenses of a verb?",grammar
What does 虚怀若谷 mean?,translation
Does pronunciation of a vowel change with tones?,"pronunciation, tones"
What is the character for romantic love in classical Chinese?,"word requests, classical chinese"
meaning of 把自己 and 收下 and 在地里 and some translations,translation
"How do I say ""from now on, every time I hear 拔, I will think of you going to the dentist""?",translation
Help with 之，間，於,translation
"Chinese characters for ""bu da jie"" meaning unrelated",character identification
Why was 幸 simplified to 扌in 報(⿰幸𠬝) to 报(⿰扌𠬝)?,simplified characters
Difference between 偏見，偏私，and 偏心？,"translation, grammar, mandarin"
Phonetic clue of characters in languages or dialects other than Mandarin?,"writing, phonology"
Is there a shorten formed of the name for Polish złoty?,names
Understanding 有上月了,"grammar, expressions"
Meaning of 泡­­­­­­­­­­­­­­­­­­­­­­­­,meaning
"What to use instead of em-dash (U+2014), etc","punctuation, ambiguity"
What is the meaning of 得 in 饿得受不了?,grammar
Flexibility of Chinese measure words,measure word
敢于 vs 勇于 difference in usage,"meaning, usage, difference"
"Why does 减弱 (lit. ""reduce weak"") mean ""to weaken""?",etymology
Inverted word order for a sentence with a relative clause?,"sentence structure, word order"
"How could I correctly say ""I moved here when I was eight years old""?","sentence structure, simplified characters, introductions"
Measure words for disrespect,measure word
Chinese Year on a Postmark,translation
Painting signature translation (Characters identified: 筠新),"translation, character identification, seal, transcription"
Any hypothesis to remember 刑?,"meaning, glyph origin, history"
How does 矢 look like an arrow?,glyph origin
Sentences with double 了,grammar
"Can anyone recommend Chinese names that mean ""a rainfall of jade""?","meaning, mandarin, names"
Which radicals are used mostly just as phonetic?,"meaning, radicals"
What grammar structure does ...在这份评估单上打分... use?,sentence structure
What does 我正好是诗情勃发 mean in the Chinese translation of Roald Dahl's Matilda (p.2)?,"translation, meaning in context"
"How to say “I pass” in Chinese, when playing a board game","translation, word choice"
Comprehension of role(s) of 也 which is used inside 他有一些成绩，但也不应该骄傲。,grammar
"What is ""语气词""? Why does this question end with 嘛 instead of 吗?",grammar
Usage: analogically simplified (类推简体) vs. original characters,usage
出于考虑 vs。 基于考虑 。 Do Taiwanese say 基于？,"grammar, taiwan"
Did some people only have names like 张三?,terms of address
What's the percentage of simplified characters in the most common characters?,traditional vs simplified
"Are 仙草, 毒草 and 良草 broadly-used idioms?","usage, idioms"
Romance of the Three Kingdoms English translation with Pinyin names?,"translation, pinyin, literature"
What is the meaning of 奴 this poem from 红楼梦？,meaning in context
Difference between 发愁，着急，担心，关心，操心，烦恼,"meaning, meaning in context, vocabulary, difference"
"What is the best way to say ""fresh baked cookie""?",translation
"How to say ""this"" in ""This is my third time in Taiwan""?",measure word
"How to phrase ""You know what they say? [quote]"" in Chinese?","translation, phrase"
Resources For Learning Southwestern Mandarin (西南官话),"topolect, resources"
木木 is there anything linked to a Chinese superstition with this double character?,translation
Mnemonic or Glyph Origin for 御,"characters, character identification, glyph origin"
What is the antonym of 不如?,"word requests, antonyms"
"When referring to a previously mentioned object, such as a computer 一台电脑, do you say 这个/那个 or 这台/那台?",measure word
Is there a reason why 午 and 年 look so similar?,glyph origin
What is the meaning of 提提大家？,"meaning in context, cantonese, colloquialisms"
Do all 汉字 components (radicals and non-radicals) have names?,"radicals, characters"
Is there such thing as Chinese spelling alphabet?,spelling
Why does 有机 as in 有机食品 mean organic?,"mandarin, etymology, meaning"
Pronunciation of 辆,"pronunciation, word"
中国有的地方都下雪了 some places in China,"translation, grammar"
What does 就 mean in 你怎么就睡在这里了呀？,"grammar, meaning, usage"
What does 来 mean in 他想一切办法来验证这个理论 and 我们设了个陷阱来抓狐狸?,"meaning in context, vocabulary"
Is it possible to shorten 你叫什么名字? to 你叫什么?,names
Mandarin Equivalent of 啥子树子招啥虫?,"word choice, word requests, equivalent phrase, topolect"
Is 搏杀 used in jest in 今年剩下一个星期了，继续努力搏杀?,"word choice, usage"
Is the grammar of this correct?,grammar
What is this Chinese input method?,"traditional characters, input methods"
"What does 了mean in 衣服也落在了房间内, and is it pronounce le or liao?","grammar, particles"
What's the differece between 朘 (U+6718) and 脧 (U+8127)?,characters
How can 敷衍 signify both 'perfunctory' and 'expound'?,etymology
What do 肯定 and 一定 do in 这些行动是积极的，值得肯定，对于减少烟毒有一定的意义?,"translation, usage"
"What is the meaning of ""削平巨寇""?","translation, meaning, meaning in context"
Pronounce ellipsis 《●●● ●●●》 in Mandarin,spoken
Critique request: three 筹备 sentences: 有的人的筹备很不合理 and 北京花了很长时间做筹备工作 and 不需要筹备任何配料,writing critique
"Why does someone in our apartment complex yell something like ""dòuhé"" at around 8am?","meaning in context, word, accent"
Opening a Mahjong business. Does 熬云 sound like a business name? Have no idea what a normal Chinese business name sounds like,word choice
How can we translate this sentence into chinese?,translation
Difference between 合适 and 适合,"word choice, meaning in context"
What is the difference between 这类 and 这种?,word choice
"Preferred translation for ""log out"" or ""sign out"" (such as a web site): 注销, 登出, 退出?",translation
What do the words 大 and 小 mean in a calendar?,"vocabulary, calendar"
What is 新的伟大... in 党的建设新的伟大工程 and 改革开放新的伟大革命?,syntax
"How would you translate ""one minute of this film is two minutes too much""?",translation
Meaning of 輕巧 in 在小鐘如鈴般輕巧的聲響中，我想著我的兒子,meaning
When to use [time of day]+饭 vs [time of day]+餐?,word choice
"Phrase or idiom for ""vocal minority""","translation, mandarin"
Pinyin / pronunciation for 朋友,"pronunciation, pinyin"
What does 我三谁了 mean in 我也不知道，我刷四绝朋友告诉我有人刷喇叭骂我小三，我不知道我怎么就小三了，我三谁了?,"translation, meaning in context"
The difference between simplified and traditional Chinese and how should one convert a traditional sentence into a simplified one?,"traditional characters, simplified characters, traditional vs simplified"
How did I go in my mock HSK6 exam faulty wording section?,"grammar, hsk"
Why does「远」have difficulty displaying?,characters
Differentiating the words 阿姨 親阿姨 and 姨 correctly,meaning
"What's the Mandarin equivalent of ""定係""?","translation, mandarin, cantonese"
How to say 'protect x from y'?,mandarin
Is there a way to translate terms related to the family?,translation
Hi i have four old paintings with this signature seal. Just wondering if anyone knows what it says,"seal, reading"
"What is the difference between 吃不消 and 受不了 to mean ""I cannot bear""?","usage, word"
"Do you change your voice when you're surprised, unsure etc. in Mandarin?","mandarin, tones"
What does 这些地方 mean in this dialogue about health checks?,meaning in context
"How does 麦 connect 烧麦 (shāomài), a kind of dumpling, with 大麦 (dàmài), 小麦 (xiǎomài), and 燕麦 (yànmài), which are types of grains?",food
What's the difference between etymology and glyph origin?,"difference, etymology, glyph origin"
What is the origin of 抠门儿?,"meaning, etymology"
What is etymology for 沙龙?,"usage, etymology"
"How do we correctly translate the XKCD comic snippet ""Good News: You recently had close contact with someone who has not tested positive for COVID""?","translation, humor"
What does 气场全开 mean?,"meaning, meaning in context, word"
Is it possible to have two coordinated verbs before 得/不 + resultative?,grammar
"Can I make statements with structure like ""我这个“老外”这么喜欢看京剧""?",sentence structure
Is it okay to ask 你的电话号码是什么?,"word choice, difference, expressions, sentence"
What’s the difference between 吃上饭 and 吃下饭?,"mandarin, simplified characters, direction complement, complement, result complement"
"Saying ""I have to go"" in chat",expressions
"Is 請 also mean ""to treat"" in Mandarin?",mandarin
Is it possible to get novels written in Chinese and English on the same page to download?,books
Grammar: verb + 的 + verb,grammar
What is the etymology of 放我一马？,"etymology, idioms"
Can anyone tell me what this means?,"translation, names"
Is there a site that can split characters into radicals?,"characters, radicals"
"What is the proper way of saying ""if"" in Cantonese?","translation, vocabulary, word, cantonese, spoken"
How do friends use each other's name?,"names, culture"
"Is it possible to write ""I'm hungry and tired"" (我饿了，我也累了) with a single change-of-state 了?",particles
"Meaning and function of ""会"" in 我都会把下次学生需要带东西写在黑板上?","grammar, meaning"
好客	vs 亲切 - both mean hospitable?,vocabulary
How to describe the state of a locked door,grammar
"""May you live in interesting times""","expressions, classical chinese, saying"
Is the symbol in the images a chinese letter?,"translation, character identification"
单纯 vs 成熟 in the context of female,"vocabulary, phrase"
What is a Singapore Sling drink known as in the Chinese dialects of Singapore?,"translation, topolect"
How to literally translate this: 极爱冒险的大导演...?,"translation, meaning, meaning in context"
Meaning of the expression 黄毛小儿,"meaning, expressions"
Subject + predicate as topic and prepositional phrases,"grammar, word order"
When is it right to use 是什么关系 rather than 有什么关系?,grammar
What's the difference between 说话的人 and 说话人?,meaning
"My Chinese Laoshi gave me a Chinese name ""玉意"" I don't know what it means",translation
Difference between 冲昏 and 抓狂?,difference
"再一次地, why is 地 used?",translation
Usage of the phrase '不错用' in Taiwan Mandarin,"mandarin, phrase, taiwan"
Please help me translate what is carved on my dizi flute. Thank you!,translation
Porcelain Mark Translation?,"translation, mandarin"
"How to say ""slang"" in Cantonese and Mandarin?",mandarin
Why is 很早 after the verb in 我起床很早?,"grammar, usage, sentence structure, phrase, word order"
"Can you use ""非常非常‘ to emphasize how much you think of something?","grammar, usage, adverbs"
"How to say ""to give""?",translation
"Where to officially get the videos of ""New Practical Chinese Reader"" (1st edition)?",books
"What are the Hokkienese lyrics in the Wax Chattels song ""Cede""?",lyrics
Can somebody identify these characters? (Characters identified: 㸃㬹),"characters, character identification"
What's the usage/meaning of 就 in this case?,"usage, vocabulary"
Which period in Chinese history produced the most chengyu?,"history, chengyu"
In Mandarin Chinese how do we know that a verb is in passive voice,grammar
Meaning of 靈活運用詩文名句，增添文采。,meaning
Any chance someone could tell me what these characters mean?,traditional characters
When should I use 兆 instead of 万亿?,number
How does 雲 + 朵 compound to mean 'your letter'?,etymology
"How to phrase ""If I had to choose...""?",translation
I need this image translated,translation
Meaning of 别 in 别开生面?,"meaning, characters, meaning in context, idioms, chengyu"
How do I prevent Chinese characters from being displayed in the wrong script on Windows? (Traditional/Simplified),"characters, fonts"
What is 女斗士 and when can I use this?,translation
Identification of asian seal on 2 paintings,"translation, character identification, seal, calligraphy"
Is erhua standard (for Beijingers) in 中关村?,erhuayin
Glyph origin of 鐵,glyph origin
Verbs of two words,"grammar, verbs"
How to say when a university was established,word choice
Is there an English name for 过家家?,translation
"What is the etymology of ""商"" in ""商数""","etymology, glyph origin"
"For the character""冒""，is the top part ""日"" or ""曰""？","characters, radicals"
The meaning of 鬓边不败牡丹,"translation, meaning, phrase"
"What does 黄 (Huáng) in 黄色 (""yellow"") mean, and can it be used as a name?","meaning, vocabulary"
Online resources for meanings and examples of radicals in simplified Chinese,simplified characters
Could anyone help me check my grammar in sentence,"grammar, sentence structure, writing critique"
"In 别人先代替他的工作, should we delete the 的?","grammar, word choice"
What is the semantic extension of 成？,"etymology, semantics, semantic extensions"
"""One"" (eg. one must) in Chinese?",word requests
A question about use of 为止,usage
"Which is a better translation for the sentence ""Let's make a website for remote sensing and photogrammetry real."" which will be used as a slogan?",translation
Why are many Chinese characters almost symmetrical but not exactly symmetrical?,characters
Subtle definition of 喜欢,grammar
"What is the difference between 跟, 跟着 and 跟着着?","grammar, meaning, vocabulary"
How would a person start translating classical stories from the Han dynasty?,"translation, classical chinese, learning"
"Translation of ""to substitute for""?",word choice
Right demand = 正确的要求 in this situation?,"word choice, word"
help translating art seals,translation
"Hello, I need the picture translated. Can someone help?","translation, character identification"
What is the precise meaning of 還虧空？,meaning in context
Simplified Chinese: 彷彿 vs 仿佛,translation
What's the meaning of 聊起 in 马小姐正在和她的好朋友李太太聊起这个男人的事情,"meaning, direction complement"
"Has there ever been an English translation of《輶軒》""Fangyan""?","translation, reference materials"
还 vs 也 for expressing multiple actions,word choice
How can I translate 中國傳統社會屬父系社會，以男性繼承世系血脈 into English?,translation
Confusions with third-tone reading,"mandarin, pinyin"
"Sites with big collection of ebooks in chinese language, but western titles mostly",resources
What does 李友的一篇日记 mean?,measure word
Graded Mandarin Chinese podcasts or e-books,resources
what is the difference between 覆盆子 and 树莓?,"difference, traditional vs simplified"
Does Shanghainese have a buzzing sound & what does it mean?,shanghainese
"What does ""二人要通过许多小的管卡"" mean?",meaning
How should I understand XYZ姑娘?,"meaning, word"
Explanation of why 棋 is included in 琴棋书画?,phrase
Resources for learning classical Chinese,"reference materials, classical chinese"
"Are languages such as Wu, Yue, Jin, Min, Hakka, Xiang, Gan, Huizhou, and Pinghua written in Classical Chinese or Written vernacular?",classical chinese
Meaning of 对拆 (對拆) in 套路 names,"characters, cantonese"
"What's this ""O<"" (capital O and subscript less-than sign) Sinological IPA transcription?",meaning
What is the meaning of 機歪?,"translation, mandarin, lyrics"
"What does 我就立刻知道他准是对儿媳干了偷鸡摸狗的勾当 mean? (from 活着, p.3)",translation
How did 'velcro' get translated to 魔术贴 ('magic attachment??'),"etymology, word"
Puzzling Chinese conversations,"word, pronunciation, learning"
The ever changing names of places in chinese,place names
"Why does 如 (a women obeying spoken orders) mean ""if"", ""as if"", ""supposing""?",meaning
When was the pronunciation of 帧 changed?,pronunciation
Can 得 be used as a stand alone answer?,"grammar, mandarin"
"How do you say ""none available""?","translation, word requests"
What's the difference between 生气 and 可气?,difference
Is there a translation of the daodejing into modern mandarin grammar?,"translation, mandarin, cantonese, classical chinese, shanghainese"
Meaning(s) of 好 in 房子刚盖好，还没装窗户呢,grammar
Differentiate 不错 and 没错 in these situations,word choice
How to translate this conversation? 就是那种又泡又回吃的那种,translation
"In ""会很 <adj.> 的""， is 很 meaningless?",grammar
Origin of transliteration of ~j/sw to ~r in Mandarin,"pronunciation, topolect, transliteration"
Example of grammar difference between Cantonese and Mandarin?,"grammar, mandarin, cantonese"
Which is the correct glyph origin of 入,"etymology, glyph origin"
Is the meaning of 卖 the original meaning in 卖力，卖萌，卖国，卖傻，卖弄?,meaning in context
Can 弗 Mean Dollar In Chinese?,meaning
"“这个是我常用的资料夹” equals “This is my frequently used folders” or ""This is my favorite folder""?",translation
